virus,recombination_rate,method,components,perplexity,learning_rate,nearest_neighbors,min_dist,mse
influenza,no-reassortment,pca,2.0,,,,,0.00033812408762202756
influenza,no-reassortment,mds,2.0,,,,,0.00038381974280637195
influenza,no-reassortment,t-sne,,200.0,100.0,,,0.00018913231636421134
influenza,no-reassortment,umap,,,,25.0,0.1,0.00016012188707259273
coronavirus,low-recombination-rate,pca,2.0,,,,,0.0002027944140443702
coronavirus,low-recombination-rate,mds,2.0,,,,,0.000318276625531232
coronavirus,low-recombination-rate,t-sne,,200.0,500.0,,,5.6898332504727734e-05
coronavirus,low-recombination-rate,umap,,,,25.0,0.05,0.00010664995525190153
coronavirus,moderate-recombination-rate,pca,2.0,,,,,0.00016875987282581668
coronavirus,moderate-recombination-rate,mds,2.0,,,,,0.0002599894977339657
coronavirus,moderate-recombination-rate,t-sne,,200.0,200.0,,,5.995040993888835e-05
coronavirus,moderate-recombination-rate,umap,,,,100.0,0.25,9.49351869005456e-05
coronavirus,high-recombination-rate,pca,2.0,,,,,0.0002990708172431166
coronavirus,high-recombination-rate,mds,2.0,,,,,0.00037611254396419374
coronavirus,high-recombination-rate,t-sne,,200.0,100.0,,,7.17927863704715e-05
coronavirus,high-recombination-rate,umap,,,,25.0,0.1,0.00012957879359433276
