dataset,method,n_clusters,n_cluster_transitions,n_extra_transitions,clusters,transitions
seasonal-flu-h3n2-ha-2016-2018,PCA,4,2,0,"['-1', '0', '1', '2']","[('0', '2'), ('2', '1')]"
seasonal-flu-h3n2-ha-2016-2018,MDS,10,9,0,"['-1', '0', '1', '2', '3', '4', '5', '6', '7', '8']","[('-1', '0'), ('-1', '1'), ('1', '2'), ('-1', '8'), ('-1', '3'), ('8', '4'), ('8', '7'), ('-1', '5'), ('5', '6')]"
seasonal-flu-h3n2-ha-2016-2018,t-SNE,9,8,1,"['-1', '0', '1', '2', '3', '4', '5', '6', '7']","[('1', '6'), ('6', '4'), ('6', '3'), ('6', '2'), ('6', '7'), ('6', '7'), ('7', '5'), ('7', '0')]"
seasonal-flu-h3n2-ha-2016-2018,UMAP,7,8,2,"['0', '1', '2', '3', '4', '5', '6']","[('0', '3'), ('3', '4'), ('3', '1'), ('3', '6'), ('6', '5'), ('6', '5'), ('5', '2'), ('5', '2')]"
seasonal-flu-h3n2-ha-2018-2020,PCA,7,5,0,"['-1', '0', '1', '2', '3', '4', '5']","[('-1', '2'), ('2', '3'), ('1', '0'), ('1', '4'), ('4', '5')]"
seasonal-flu-h3n2-ha-2018-2020,MDS,7,8,2,"['-1', '0', '1', '2', '3', '4', '5']","[('1', '2'), ('2', '0'), ('2', '1'), ('2', '1'), ('-1', '5'), ('5', '4'), ('4', '3'), ('4', '3')]"
seasonal-flu-h3n2-ha-2018-2020,t-SNE,5,4,0,"['0', '1', '2', '3', '4']","[('3', '0'), ('3', '4'), ('4', '2'), ('2', '1')]"
seasonal-flu-h3n2-ha-2018-2020,UMAP,8,9,1,"['0', '1', '2', '3', '4', '5', '6', '7']","[('0', '2'), ('2', '3'), ('2', '3'), ('0', '1'), ('1', '0'), ('0', '4'), ('4', '7'), ('7', '5'), ('7', '6')]"
seasonal-flu-h3n2-ha-na-2016-2018,PCA (HA only),4,2,0,"['-1', '0', '1', '2']","[('0', '2'), ('2', '1')]"
seasonal-flu-h3n2-ha-na-2016-2018,MDS (HA only),10,8,0,"['-1', '0', '1', '2', '3', '4', '5', '6', '7', '8']","[('-1', '0'), ('-1', '5'), ('5', '6'), ('-1', '7'), ('-1', '1'), ('7', '8'), ('7', '3'), ('-1', '4')]"
seasonal-flu-h3n2-ha-na-2016-2018,t-SNE (HA only),11,9,0,"['-1', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[('1', '5'), ('1', '0'), ('5', '6'), ('6', '4'), ('6', '3'), ('6', '9'), ('9', '7'), ('9', '8'), ('9', '2')]"
seasonal-flu-h3n2-ha-na-2016-2018,UMAP (HA only),8,8,0,"['0', '1', '2', '3', '4', '5', '6', '7']","[('7', '4'), ('4', '7'), ('7', '6'), ('4', '3'), ('4', '5'), ('4', '1'), ('1', '2'), ('2', '0')]"
seasonal-flu-h3n2-ha-na-2016-2018,PCA (HA/NA),5,3,0,"['-1', '0', '1', '2', '3']","[('0', '3'), ('3', '1'), ('3', '2')]"
seasonal-flu-h3n2-ha-na-2016-2018,MDS (HA/NA),19,24,6,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '2', '3', '4', '5', '6', '7', '8', '9']","[('-1', '0'), ('-1', '1'), ('1', '2'), ('-1', '3'), ('-1', '4'), ('-1', '3'), ('-1', '6'), ('-1', '6'), ('6', '5'), ('-1', '12'), ('-1', '12'), ('-1', '11'), ('-1', '8'), ('8', '9'), ('-1', '17'), ('17', '16'), ('16', '14'), ('16', '15'), ('16', '15'), ('17', '7'), ('7', '13'), ('7', '13'), ('7', '13'), ('7', '10')]"
seasonal-flu-h3n2-ha-na-2016-2018,t-SNE (HA/NA),17,19,3,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '2', '3', '4', '5', '6', '7', '8', '9']","[('8', '7'), ('7', '9'), ('7', '8'), ('9', '1'), ('1', '15'), ('1', '0'), ('15', '14'), ('15', '13'), ('15', '6'), ('6', '3'), ('14', '5'), ('5', '12'), ('5', '4'), ('14', '2'), ('2', '10'), ('2', '11'), ('2', '11'), ('2', '10'), ('2', '10')]"
seasonal-flu-h3n2-ha-na-2016-2018,UMAP (HA/NA),8,11,3,"['0', '1', '2', '3', '4', '5', '6', '7']","[('1', '6'), ('6', '4'), ('6', '7'), ('7', '0'), ('6', '5'), ('5', '3'), ('3', '2'), ('3', '2'), ('3', '2'), ('3', '2'), ('2', '3')]"
sars-cov-2-2020-2022,PCA (Nextstrain clade),4,4,1,"['0', '1', '2', '3']","[('3', '0'), ('3', '0'), ('3', '2'), ('3', '1')]"
sars-cov-2-2020-2022,MDS (Nextstrain clade),17,23,5,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '2', '3', '4', '5', '6', '7', '8', '9']","[('14', '15'), ('-1', '15'), ('-1', '15'), ('-1', '8'), ('8', '9'), ('9', '8'), ('9', '8'), ('8', '9'), ('9', '8'), ('-1', '6'), ('15', '10'), ('-1', '5'), ('-1', '3'), ('3', '4'), ('-1', '13'), ('-1', '1'), ('-1', '0'), ('-1', '12'), ('-1', '5'), ('-1', '11'), ('13', '12'), ('-1', '2'), ('-1', '7')]"
sars-cov-2-2020-2022,t-SNE (Nextstrain clade),20,18,0,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '2', '3', '4', '5', '6', '7', '8', '9']","[('9', '18'), ('18', '17'), ('18', '14'), ('-1', '3'), ('18', '7'), ('18', '5'), ('5', '13'), ('5', '4'), ('13', '12'), ('13', '6'), ('13', '10'), ('18', '16'), ('16', '1'), ('1', '0'), ('16', '8'), ('16', '2'), ('16', '15'), ('16', '11')]"
sars-cov-2-2020-2022,UMAP (Nextstrain clade),6,5,0,"['0', '1', '2', '3', '4', '5']","[('4', '1'), ('1', '5'), ('4', '2'), ('2', '0'), ('4', '3')]"
sars-cov-2-2020-2022,PCA (Pango),43,97,44,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '5', '6', '7', '8', '9']","[('36', '34'), ('36', '38'), ('36', '39'), ('36', '39'), ('36', '7'), ('36', '39'), ('36', '24'), ('24', '16'), ('-1', '20'), ('24', '3'), ('-1', '22'), ('24', '25'), ('24', '16'), ('24', '22'), ('24', '22'), ('24', '3'), ('24', '16'), ('24', '20'), ('24', '3'), ('3', '2'), ('24', '3'), ('24', '7'), ('24', '3'), ('24', '16'), ('36', '33'), ('-1', '36'), ('36', '41'), ('36', '35'), ('-1', '27'), ('-1', '26'), ('26', '21'), ('-1', '27'), ('27', '36'), ('-1', '30'), ('-1', '23'), ('30', '28'), ('30', '17'), ('17', '18'), ('30', '32'), ('30', '29'), ('-1', '9'), ('30', '32'), ('30', '17'), ('30', '29'), ('30', '12'), ('30', '32'), ('30', '15'), ('-1', '8'), ('-1', '15'), ('-1', '30'), ('30', '31'), ('-1', '17'), ('-1', '30'), ('30', '19'), ('30', '23'), ('30', '31'), ('-1', '17'), ('-1', '19'), ('30', '28'), ('-1', '12'), ('-1', '12'), ('-1', '12'), ('-1', '30'), ('-1', '15'), ('36', '13'), ('13', '1'), ('1', '0'), ('13', '10'), ('13', '14'), ('13', '10'), ('13', '10'), ('13', '14'), ('13', '14'), ('13', '6'), ('13', '6'), ('6', '5'), ('6', '5'), ('36', '39'), ('36', '38'), ('36', '26'), ('26', '21'), ('-1', '36'), ('36', '37'), ('36', '34'), ('36', '35'), ('36', '4'), ('36', '41'), ('36', '40'), ('36', '38'), ('36', '41'), ('-1', '36'), ('-1', '21'), ('-1', '11'), ('-1', '11'), ('36', '40'), ('36', '37'), ('36', '37')]"
sars-cov-2-2020-2022,MDS (Pango),17,23,5,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '2', '3', '4', '5', '6', '7', '8', '9']","[('14', '15'), ('-1', '15'), ('-1', '15'), ('-1', '8'), ('8', '9'), ('9', '8'), ('9', '8'), ('8', '9'), ('9', '8'), ('-1', '6'), ('15', '10'), ('-1', '5'), ('-1', '3'), ('3', '4'), ('-1', '13'), ('-1', '1'), ('-1', '0'), ('-1', '12'), ('-1', '5'), ('-1', '11'), ('13', '12'), ('-1', '2'), ('-1', '7')]"
sars-cov-2-2020-2022,t-SNE (Pango),20,18,0,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '2', '3', '4', '5', '6', '7', '8', '9']","[('9', '18'), ('18', '17'), ('18', '14'), ('-1', '3'), ('18', '7'), ('18', '5'), ('5', '13'), ('5', '4'), ('13', '12'), ('13', '6'), ('13', '10'), ('18', '16'), ('16', '1'), ('1', '0'), ('16', '8'), ('16', '2'), ('16', '15'), ('16', '11')]"
sars-cov-2-2020-2022,UMAP (Pango),31,127,62,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '4', '5', '6', '7', '8', '9']","[('9', '20'), ('20', '9'), ('9', '20'), ('-1', '24'), ('-1', '16'), ('-1', '24'), ('-1', '20'), ('-1', '17'), ('-1', '23'), ('17', '22'), ('-1', '22'), ('22', '20'), ('-1', '18'), ('18', '21'), ('18', '21'), ('21', '16'), ('18', '21'), ('21', '17'), ('17', '20'), ('21', '20'), ('21', '17'), ('20', '13'), ('21', '17'), ('21', '17'), ('17', '20'), ('17', '22'), ('21', '20'), ('20', '21'), ('21', '24'), ('21', '20'), ('21', '17'), ('17', '20'), ('20', '17'), ('-1', '21'), ('-1', '18'), ('-1', '24'), ('24', '21'), ('21', '18'), ('-1', '20'), ('-1', '13'), ('-1', '17'), ('-1', '13'), ('-1', '21'), ('-1', '20'), ('20', '17'), ('17', '13'), ('13', '10'), ('-1', '24'), ('-1', '23'), ('-1', '24'), ('23', '24'), ('-1', '6'), ('-1', '24'), ('24', '23'), ('23', '22'), ('-1', '13'), ('-1', '0'), ('0', '4'), ('-1', '29'), ('-1', '16'), ('29', '27'), ('27', '3'), ('3', '2'), ('2', '1'), ('2', '1'), ('29', '12'), ('29', '26'), ('29', '25'), ('25', '13'), ('29', '13'), ('29', '12'), ('29', '12'), ('12', '29'), ('29', '12'), ('12', '14'), ('12', '11'), ('29', '28'), ('28', '29'), ('29', '14'), ('29', '26'), ('14', '29'), ('29', '12'), ('12', '14'), ('14', '12'), ('29', '15'), ('15', '14'), ('14', '15'), ('-1', '13'), ('29', '14'), ('14', '27'), ('27', '8'), ('8', '5'), ('8', '5'), ('5', '8'), ('5', '8'), ('5', '8'), ('8', '7'), ('7', '5'), ('29', '14'), ('29', '12'), ('29', '15'), ('29', '14'), ('29', '14'), ('29', '15'), ('15', '12'), ('29', '12'), ('12', '14'), ('29', '25'), ('-1', '28'), ('29', '15'), ('15', '14'), ('14', '12'), ('14', '15'), ('14', '15'), ('15', '29'), ('15', '12'), ('12', '25'), ('29', '27'), ('29', '12'), ('12', '29'), ('29', '28'), ('29', '12'), ('12', '13'), ('29', '12'), ('-1', '13'), ('-1', '29'), ('-1', '14')]"
sars-cov-2-2022-2023,PCA (Nextstrain clade),5,7,3,"['0', '1', '2', '3', '4']","[('4', '2'), ('4', '2'), ('4', '3'), ('3', '0'), ('4', '2'), ('4', '1'), ('4', '1')]"
sars-cov-2-2022-2023,MDS (Nextstrain clade),19,27,9,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '2', '3', '4', '5', '6', '7', '8', '9']","[('0', '1'), ('1', '0'), ('-1', '9'), ('-1', '4'), ('9', '17'), ('-1', '16'), ('-1', '17'), ('-1', '16'), ('-1', '10'), ('10', '11'), ('10', '11'), ('-1', '14'), ('-1', '14'), ('-1', '13'), ('13', '6'), ('6', '5'), ('-1', '13'), ('-1', '12'), ('-1', '14'), ('-1', '16'), ('-1', '7'), ('-1', '7'), ('-1', '8'), ('-1', '8'), ('-1', '8'), ('-1', '3'), ('3', '2')]"
