comparison,mean,median,std,group,dataset_name
between,43.2813627422195,43.0,17.682357112079195,Nextstrain_clade,sars-cov-2-2020-2022
within,15.456270563016128,15.0,6.831736370817152,Nextstrain_clade,sars-cov-2-2020-2022
between,42.08550168801955,42.0,18.2201338178302,Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,16.63476209551787,14.0,10.15168251081961,Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,50.84565503878133,48.0,13.24892529866061,pca_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,30.518291509214137,25.0,18.1673236209855,pca_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,50.84565503878133,48.0,13.24892529866061,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,30.518291509214137,25.0,18.1673236209855,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,43.60768504502255,44.0,18.02174147704837,mds_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,20.651417112299463,20.0,10.490367185942183,mds_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,43.60768504502255,44.0,18.02174147704837,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,20.651417112299463,20.0,10.490367185942183,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,43.19834797831045,43.0,17.573167363517225,t-sne_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,14.572153592687746,14.0,7.643537223883507,t-sne_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,43.19834797831045,43.0,17.573167363517225,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,14.572153592687746,14.0,7.643537223883507,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,51.394309917019626,49.0,13.059577217437742,umap_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,20.48208771524962,19.0,9.104607041451688,umap_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,51.394309917019626,49.0,13.059577217437742,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,20.48208771524962,19.0,9.104607041451688,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
between,50.25393694630584,48.0,13.524043954373983,genetic_label_for_Nextstrain_clade,sars-cov-2-2020-2022
within,18.856098763182093,18.0,8.018787314924413,genetic_label_for_Nextstrain_clade,sars-cov-2-2020-2022
between,50.62958136002322,48.0,13.308789514602465,genetic_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
within,19.1806597661062,18.0,8.128685867571667,genetic_label_for_Nextclade_pango_collapsed,sars-cov-2-2020-2022
