strain,mds1,mds2,mds_label,predicted_outlier_status,predicted_LOF_outlier_status,X_scores
A/Geneva/A9509/1995,40.05796046161677,-108.09383257023659,2,1,1,-1.0965212482237319
A/HongKong/3/1995,40.9860819508843,-106.68275614347307,2,1,1,-0.9951401763926008
A/Malaysia/07145/1995,39.35232794353747,-109.96930953186201,2,1,1,-1.333372090963918
A/Malaysia/07832/1995,23.10816262099593,-115.86684791249252,-1,1,1,-1.1917661020967645
A/NewYork/625/1996,40.383056938112134,-109.04094085917082,2,1,1,-1.1388994978857672
A/NewYork/662/1995,40.00486014652782,-105.96921062516924,2,1,1,-1.050775492105669
A/NewYork/674/1995,39.40135330055702,-105.1599122222788,2,1,1,-1.038147180505602
A/NewYork/699/1995,38.77037378901925,-104.30285866373694,2,1,1,-1.076661307707146
A/NewYork/692/1995,39.933989796141155,-107.08755888033579,2,1,1,-1.0656054069153702
A/NewYork/687/1995,39.398986498118326,-105.1609355870456,2,1,1,-1.0381660654203335
A/NewYork/703/1995,40.116604584174425,-105.92521270637761,2,1,1,-1.0493690891882497
A/NewYork/700/1995,40.095556011730494,-105.93632648887406,2,1,1,-1.0496036747465955
A/NewYork/660/1995,42.11351175075512,-106.41401408573995,2,1,1,-1.006582122868531
A/HongKong/38/1995,40.737486232689044,-109.13566685451748,2,1,1,-1.0859510487580668
A/HongKong/32/1995,33.58605756899852,-113.05488208242502,2,1,-1,-1.658390933014579
A/HongKong/49/1995,40.760947406653756,-106.02790988896521,2,1,1,-1.00730148130148
A/Lyon/2279/1995,37.982421096501206,-112.27622633768613,2,1,1,-1.209669759867588
A/Netherlands/91/1996,48.55958529677176,-108.28958918703717,2,1,1,-1.0912185016795548
A/Netherlands/271/1995,47.99450061326193,-106.90104469162792,2,1,1,-1.1195532641897985
A/Victoria/75/1995,44.14201162373307,-107.30447981052544,2,1,1,-1.022280677510632
A/NewYork/606/1995,49.23103702386,-104.5351552262632,-1,1,1,-1.2806021655281208
A/NewYork/609/1995,46.610163931071924,-107.76323616594486,2,1,1,-1.0509829907844406
A/NewYork/610/1995,35.85011154346739,-111.59498535492644,2,1,-1,-1.6253825137927795
A/NewYork/647/1995,31.507929631953782,-115.28286022933183,-1,1,-1,-1.7761844362488504
A/NewYork/637/1996,28.94733051665523,-116.22610365983616,-1,1,1,-1.3340119248916151
A/NewYork/648/1995,45.02159881464503,-108.85756108333551,2,1,1,-1.0133524113315766
A/NewYork/613/1996,47.56768480160046,-109.0917924553223,2,1,1,-1.079498675976063
A/NewYork/628/1995,46.42577935784787,-108.5218575071904,2,1,1,-1.0288839452630258
A/NewYork/634/1995,32.486180605018326,-114.03329351221369,-1,1,-1,-1.7663920586955133
A/NewYork/635/1996,32.97787920348598,-116.12025393360176,-1,1,-1,-1.7190718631017172
A/NewYork/641/1996,35.46623017416943,-114.26001822928501,2,1,1,-1.462406222829041
A/NewYork/618/1995,46.428552378139955,-108.52058059054991,2,1,1,-1.0289319180475562
A/NewYork/624/1996,47.723869684441254,-108.94063664466499,2,1,1,-1.0575001289489518
A/NewYork/639/1995,31.40272216430832,-115.50517533795704,-1,1,-1,-1.7910231882875638
A/NewYork/611/1995,35.54670591224095,-114.21408721651196,2,1,1,-1.4435972524001823
A/NewYork/619/1996,47.550222813130524,-106.48698961019896,2,1,1,-1.10893486660369
A/Siena/3/1995,42.58404950280648,-105.80598315705052,2,1,1,-1.014294812871147
A/NewYork/636/1996,34.99608311205778,-116.64258842663985,2,1,-1,-1.6118662292072163
A/NewYork/701/1995,30.628878651673514,-114.6001626395516,-1,1,1,-1.4134170220929316
A/HongKong/2/1994,34.49789610163809,-121.98151445192221,-1,1,-1,-1.842553855977452
A/Lyon/1815/1993,40.27018829881611,-118.90467850277643,2,1,1,-0.9839877244267521
A/Lyon/23602/1993,40.84707102364641,-117.63134174685223,2,1,1,-0.9678720475194484
A/Netherlands/372/1993,40.448890946283775,-118.9402640773892,2,1,1,-0.984157775545692
A/Netherlands/241/1993,40.306544874169,-115.66581724546852,2,1,1,-0.9850790856555264
A/Netherlands/398/1993,40.175753542328316,-116.80771066541055,2,1,1,-0.9177217704742157
A/Netherlands/371/1993,39.897119139311705,-120.20216986177496,2,1,1,-1.041621513153047
A/Lyon/22686/1993,40.60933503476603,-118.76361932146412,2,1,1,-0.9777700547503871
A/Netherlands/18/1994,39.20039915144729,-119.26229652857441,2,1,1,-1.0213608066989601
A/Oslo/2219/1993,39.46642480065374,-117.01692426438794,2,1,1,-0.9306565768796708
A/Lyon/672/1993,42.592693788228935,-116.12996710441669,2,1,1,-1.0333263924833382
A/Netherlands/101/1993,52.23787215514815,-123.70917659085269,-1,1,-1,-1.551011726762571
A/Netherlands/17/1993,45.317625014021594,-116.14200228481356,2,1,1,-1.0576550332455348
A/Stockholm/12/1992,46.595033543957996,-112.90067247667284,2,1,1,-1.0977566840310333
A/Singapore/3/1993,50.44055382068387,-119.9249957479948,-1,1,-1,-1.5528531567017771
A/Netherlands/3/1992,46.75461366680994,-117.73418837068651,2,1,1,-1.2706629479184257
