comparison,mean,median,std,group,dataset_name
between,47.33474260306802,47.0,19.97463026678217,Nextstrain_clade,sars-cov-2-2022-2023
within,14.767655212874876,14.0,7.057554981040865,Nextstrain_clade,sars-cov-2-2022-2023
between,45.015202154633975,45.0,20.22205915018761,Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,10.412903106440451,9.0,5.919377046126766,Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,54.36280292453018,54.0,21.523946866221003,pca_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,36.85148345111903,37.0,16.146472447049963,pca_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,54.36280292453018,54.0,21.523946866221003,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,36.85148345111903,37.0,16.146472447049963,pca_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,48.68264506721483,48.0,19.32505838805425,mds_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,23.86328582202832,23.0,12.332154081498496,mds_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,48.68264506721483,48.0,19.32505838805425,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,23.86328582202832,23.0,12.332154081498496,mds_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,45.922298022556944,45.0,19.73822242673992,t-sne_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,12.189130022329572,11.0,6.894364514535915,t-sne_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,45.922298022556944,45.0,19.73822242673992,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,12.189130022329572,11.0,6.894364514535915,t-sne_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,48.719624452991965,48.0,18.91937354350136,umap_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,19.69569875810772,19.0,8.912888503824588,umap_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,48.719624452991965,48.0,18.91937354350136,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,19.69569875810772,19.0,8.912888503824588,umap_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
between,55.77415779574708,53.0,16.473713837624405,genetic_label_for_Nextstrain_clade,sars-cov-2-2022-2023
within,25.98246799652001,25.0,10.971870869454063,genetic_label_for_Nextstrain_clade,sars-cov-2-2022-2023
between,55.94601504195258,54.0,16.38961538819286,genetic_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
within,26.033047910121567,25.0,10.942284796764977,genetic_label_for_Nextclade_pango_collapsed,sars-cov-2-2022-2023
