strain	num_date	pca1	pca2	pca3	pca4	mds1	mds2	tsne_x	tsne_y	umap_x	umap_y	clade_membership	pca_label	mds_label	umap_label	t-sne_label	y_value
A/Minnesota/40/2018	2018.54	5.64	-0.50	-0.45	0.58	-36.07	-11.02	-28.76	1.18	-0.45	0.11	3c3.A	1	2	0	0	1
A/Ohio/23/2018	2018.52	7.06	-0.12	0.01	0.09	-38.96	0.67	-29.49	1.23	-0.53	0.31	3c3.A	1	2	0	0	2
A/Florida/106/2018	2018.87	7.06	0.01	-0.05	0.13	-44.99	-11.35	-32.29	1.81	-0.52	-0.52	3c3.A	1	2	0	0	3
A/Florida/83/2018	2018.68	7.07	-0.12	-0.00	0.10	-42.49	-6.23	-32.20	1.79	-0.77	-0.02	3c3.A	1	2	0	0	4
A/England/7208/2018	2018.26	7.43	-0.16	0.13	0.05	-41.65	-2.12	-29.78	1.40	-0.58	0.18	3c3.A	1	2	0	0	5
A/Perth/103/2018	2018.67	7.51	-0.14	0.15	0.07	-42.79	-1.76	-30.54	1.25	-0.78	0.52	3c3.A	1	2	0	0	6
A/Perth/1001/2018	2018.43	7.51	-0.14	0.15	0.07	-41.06	1.07	-30.37	1.00	-0.72	0.61	3c3.A	1	2	0	0	7
A/Perth/1008/2018	2018.53	7.51	-0.14	0.15	0.07	-41.82	0.21	-30.41	1.10	-0.48	0.37	3c3.A	1	2	0	0	8
A/Pennsylvania/78/2018	2018.27	7.60	-0.15	0.19	0.05	-42.92	0.27	-30.71	0.15	-0.64	0.43	3c3.A	1	2	0	0	9
A/Indiana/24/2018	2018.26	7.51	0.07	0.22	0.08	-43.96	-5.47	-29.80	-0.50	-0.64	-0.12	3c3.A	1	2	0	0	10
A/Maryland/6851/2018	2018.28	7.60	-0.15	0.17	0.05	-43.97	-1.76	-30.23	-0.14	-0.94	0.19	3c3.A	1	2	0	0	11
A/Montana/07/2020	2020.04	7.62	-0.17	0.13	0.05	-51.17	-10.16	-31.64	4.58	-0.36	-1.58	3c3.A	1	2	0	0	12
A/Nevada/07/2020	2020.06	7.78	0.12	0.12	0.11	-49.41	-9.05	-31.55	4.54	-0.45	-1.10	3c3.A	1	2	0	0	13
A/Montana/01/2019	2019.00	7.62	-0.15	0.18	0.04	-46.45	13.40	-30.70	3.96	-0.60	-1.18	3c3.A	1	2	0	0	14
A/SouthDakota/60/2018	2018.97	7.56	-0.17	0.40	-0.43	-47.77	-7.27	-30.92	4.16	-0.71	-0.85	3c3.A	1	2	0	0	15
A/England/8742/2019	2019.19	7.62	-0.15	0.18	0.03	-48.10	-7.33	-30.92	4.16	-0.64	-0.97	3c3.A	1	2	0	0	16
A/Utah/35/2019	2019.25	7.62	-0.15	0.18	0.03	-48.10	-7.29	-30.92	4.16	-0.79	-1.04	3c3.A	1	2	0	0	17
A/Delaware/18/2019	2019.18	7.68	-0.15	0.21	0.05	-46.10	-2.78	-31.10	-1.64	-1.14	-0.49	3c3.A	1	2	0	0	18
A/Florida/127/2018	2018.99	7.67	-0.16	0.21	0.04	-44.00	0.69	-31.30	-1.07	-1.20	0.26	3c3.A	1	2	0	0	19
A/Iowa/02/2019	2019.01	7.68	-0.16	0.21	0.04	-44.00	0.93	-31.30	-1.07	-1.11	0.15	3c3.A	1	2	0	0	20
A/Wisconsin/133/2019	2019.19	7.68	-0.15	0.21	0.04	-44.02	0.52	-31.30	-1.07	-1.20	0.05	3c3.A	1	2	0	0	21
A/California/138/2019	2019.34	7.68	-0.16	0.21	0.04	-45.05	7.40	-31.72	-1.35	-1.08	-0.34	3c3.A	1	2	0	0	22
A/Wisconsin/91/2018	2018.32	7.67	-0.15	0.21	0.04	-42.37	2.12	-31.03	0.22	-1.00	0.59	3c3.A	1	2	0	0	23
A/Wisconsin/93/2018	2018.38	7.67	-0.15	0.21	0.04	-43.08	2.00	-31.15	0.26	-1.01	0.33	3c3.A	1	2	0	0	24
A/Italy/8763/2019	2019.18	8.47	-0.22	0.49	-0.04	-49.48	10.16	-36.07	-2.84	-0.62	-1.99	3c3.A	2	2	0	0	25
A/Italy/9499/2019	2019.21	8.46	-0.09	0.46	-0.02	-49.16	-1.06	-34.31	-0.17	-1.26	-1.45	3c3.A	2	2	0	0	26
A/Germany/9496/2019	2019.25	8.30	-0.35	0.51	-0.07	-46.43	11.08	-36.78	-1.96	-1.29	-0.83	3c3.A	2	2	0	0	27
A/Spain/8834/2019	2019.11	8.48	-0.22	0.52	-0.05	-47.25	2.12	-35.07	-0.63	-2.01	-0.53	3c3.A	2	2	0	0	28
A/Belgium/9021/2019	2019.12	8.47	-0.22	0.52	-0.04	-47.31	1.76	-36.02	-1.17	-1.72	-0.21	3c3.A	2	2	0	0	29
A/Germany/9050/2019	2019.12	8.47	-0.22	0.52	-0.05	-47.19	2.52	-35.10	-1.83	-1.95	-0.11	3c3.A	2	2	0	0	30
A/Germany/9673/2019	2019.11	8.47	-0.22	0.52	-0.05	-47.23	2.29	-34.78	-1.64	-1.86	-0.32	3c3.A	2	2	0	0	31
A/Germany/8910/2019	2019.10	8.48	-0.22	0.52	-0.05	-47.28	1.82	-35.10	-1.83	-1.89	-0.31	3c3.A	2	2	0	0	32
A/Germany/8908/2019	2019.10	8.47	-0.22	0.52	-0.05	-46.28	2.89	-35.16	-1.52	-1.86	-0.23	3c3.A	2	2	0	0	33
A/Germany/9353/2019	2019.18	8.48	-0.22	0.52	-0.05	-47.22	2.39	-34.78	-1.64	-2.08	-0.42	3c3.A	2	2	0	0	34
A/Germany/9348/2019	2019.17	8.47	-0.22	0.53	-0.06	-47.23	2.04	-34.78	-1.64	-1.76	-0.82	3c3.A	2	2	0	0	35
A/Louisiana/34/2019	2019.31	8.47	-0.22	0.52	-0.04	-47.87	4.67	-36.41	-0.66	-1.70	-1.13	3c3.A	2	2	0	0	36
A/Minnesota/76/2019	2020.00	8.48	-0.22	0.52	-0.07	-51.78	-2.27	-34.65	-3.19	0.03	-2.13	3c3.A	2	2	0	0	37
A/Italy/9498/2019	2019.27	8.47	-0.21	0.52	-0.05	-46.21	3.18	-35.63	-1.01	-1.72	-0.51	3c3.A	2	2	0	0	38
A/England/9336/2019	2019.23	8.47	-0.22	0.52	-0.05	-46.25	3.03	-35.58	-0.44	-1.60	-0.35	3c3.A	2	2	0	0	39
A/England/9658/2019	2019.29	8.47	-0.22	0.51	-0.05	-47.32	1.39	-35.58	0.08	-2.18	-0.51	3c3.A	2	2	0	0	40
A/England/9662/2019	2019.31	8.47	-0.22	0.51	-0.05	-48.42	0.40	-35.59	0.33	-1.73	-1.02	3c3.A	2	2	0	0	41
A/Florida/11/2020	2020.05	8.35	-0.21	0.49	-0.06	-51.21	14.77	-46.28	-2.54	0.54	-2.09	3c3.A	2	2	0	0	42
A/Ohio/08/2019	2019.13	8.57	-0.10	0.50	-0.05	-51.35	0.43	-41.76	0.05	-0.54	-2.70	3c3.A	2	2	0	0	43
A/NorthCarolina/9546/2019	2019.27	8.52	-0.23	0.56	-0.05	-53.55	0.11	-42.88	1.69	0.55	-2.42	3c3.A	2	2	0	0	44
A/Pennsylvania/05/2019	2019.06	8.58	-0.23	0.55	-0.07	-50.73	2.74	-39.71	-1.01	-0.77	-2.34	3c3.A	2	2	0	0	45
A/Florida/9664/2019	2019.30	8.58	-0.23	0.59	-0.07	-51.95	2.16	-39.16	3.22	-0.28	-2.85	3c3.A	2	2	0	0	46
A/Georgia/41/2018	2018.93	8.58	-0.23	0.56	-0.07	-49.48	3.92	-39.24	1.88	-1.94	-1.95	3c3.A	2	2	0	0	47
A/Virginia/9140/2019	2019.20	8.50	-0.35	0.59	-0.10	-50.12	10.47	-38.28	2.63	-0.39	-2.59	3c3.A	2	2	0	0	48
A/Illinois/13/2019	2019.13	8.50	-0.35	0.60	-0.10	-48.30	7.64	-38.35	1.26	-1.46	-1.54	3c3.A	2	2	0	0	49
A/NewHampshire/09/2019	2019.08	8.51	-0.34	0.63	-0.10	-48.20	7.78	-38.35	1.26	-1.32	-1.57	3c3.A	2	2	0	0	50
A/Hawaii/43/2019	2019.40	8.51	-0.20	0.54	-0.07	-51.01	9.60	-40.77	5.27	0.10	-2.12	3c3.A	2	2	0	0	51
A/Ohio/9746/2019	2019.33	8.51	-0.20	0.53	-0.06	-52.10	-0.30	-42.10	4.01	-0.18	-2.27	3c3.A	2	2	0	0	52
A/NewYork/9517/2019	2019.23	8.52	-0.19	0.58	-0.09	-49.87	8.50	-40.84	4.42	-0.61	-2.26	3c3.A	2	2	0	0	53
A/Kentucky/36/2018	2018.95	8.50	-0.22	0.50	-0.03	-47.84	5.73	-41.43	4.45	-1.91	-1.08	3c3.A	2	2	0	0	54
A/England/9619/2019	2019.29	8.50	-0.21	0.53	-0.06	-48.09	5.52	-41.43	4.45	-2.06	-1.40	3c3.A	2	2	0	0	55
A/Mississippi/19/2019	2019.20	8.41	-0.20	0.51	-0.06	-46.08	5.23	-41.43	4.45	-1.62	-0.40	3c3.A	2	2	0	0	56
A/Michigan/384/2019	2019.43	8.46	-0.10	0.61	-0.28	-52.08	-2.97	-42.06	5.33	0.08	-2.11	3c3.A	2	2	0	0	57
A/Italy/9501/2019	2019.24	8.50	-0.09	0.49	-0.03	-51.73	-1.72	-43.79	5.11	-0.15	-2.29	3c3.A	2	2	0	0	58
A/Italy/9690/2019	2019.28	8.51	-0.09	0.48	-0.03	-53.97	-3.10	-43.89	5.12	0.13	-2.23	3c3.A	2	2	0	0	59
A/Italy/9689/2019	2019.26	8.51	-0.10	0.47	-0.02	-53.97	-3.01	-43.89	5.12	0.11	-2.48	3c3.A	2	2	0	0	60
A/Germany/9356/2019	2019.20	8.58	-0.22	0.56	-0.07	-50.73	3.34	-40.09	2.62	-0.81	-2.23	3c3.A	2	2	0	0	61
A/Georgia/40/2018	2018.90	8.58	-0.22	0.56	-0.07	-48.39	3.95	-40.04	1.01	-2.11	-1.25	3c3.A	2	2	0	0	62
A/WestVirginia/35/2019	2019.31	8.49	-0.53	-0.24	0.13	-49.28	6.41	-40.74	-0.66	-1.51	-2.32	3c3.A	2	2	0	0	63
A/Georgia/8132/2019	2019.08	8.50	-0.59	-0.20	0.10	-48.46	6.30	-40.58	-0.20	-2.02	-1.83	3c3.A	2	2	0	0	64
A/Wyoming/08/2019	2019.10	8.58	-0.23	0.55	-0.07	-49.40	4.37	-39.99	0.21	-1.84	-2.28	3c3.A	2	2	0	0	65
A/Italy/8767/2019	2019.10	8.58	-0.23	0.56	-0.07	-49.52	3.33	-39.26	0.83	-1.80	-2.13	3c3.A	2	2	0	0	66
A/Germany/9668/2019	2019.28	8.58	-0.22	0.55	-0.08	-50.66	2.53	-41.11	2.30	-1.03	-2.44	3c3.A	2	2	0	0	67
A/Arizona/16/2019	2019.15	8.58	-0.23	0.57	-0.07	-49.47	4.06	-39.22	0.06	-1.59	-2.04	3c3.A	2	2	0	0	68
A/Utah/30/2019	2019.24	8.58	-0.23	0.56	-0.07	-50.78	2.26	-38.89	-0.27	-1.00	-2.53	3c3.A	2	2	0	0	69
A/Kentucky/35/2018	2018.94	8.58	-0.23	0.56	-0.07	-48.38	4.19	-40.04	1.01	-2.24	-1.56	3c3.A	2	2	0	0	70
A/SouthCarolina/04/2018	2018.98	8.58	-0.22	0.56	-0.07	-48.38	4.02	-40.04	1.01	-2.19	-1.50	3c3.A	2	2	0	0	71
A/Italy/8946/2019	2019.08	8.58	-0.23	0.56	-0.07	-49.52	3.56	-41.27	1.22	-1.95	-2.23	3c3.A	2	2	0	0	72
A/Italy/8440/2019	2019.05	8.58	-0.23	0.56	-0.07	-48.43	3.84	-40.88	1.16	-2.35	-1.39	3c3.A	2	2	0	0	73
A/Italy/9503/2019	2019.24	8.61	-0.23	0.58	-0.06	-49.53	3.61	-41.74	1.34	-1.56	-1.88	3c3.A	2	2	0	0	74
A/Italy/9504/2019	2019.23	8.61	-0.23	0.58	-0.06	-50.75	3.12	-42.01	1.38	-0.94	-2.45	3c3.A	2	2	0	0	75
A/Mississippi/8271/2018	2018.99	8.58	-0.22	0.56	-0.07	-48.35	4.27	-40.04	1.01	-1.99	-1.39	3c3.A	2	2	0	0	76
A/Wyoming/14/2019	2019.16	8.57	-0.16	0.54	-0.05	-49.38	2.19	-40.44	1.77	-1.79	-2.14	3c3.A	2	2	0	0	77
A/NewJersey/9382/2019	2019.25	8.58	-0.23	0.55	-0.07	-49.39	4.46	-40.74	0.51	-1.40	-1.96	3c3.A	2	2	0	0	78
A/Colorado/9737/2019	2019.33	8.58	-0.22	0.56	-0.07	-49.55	3.13	-39.83	1.80	-1.63	-2.26	3c3.A	2	2	0	0	79
A/Indiana/05/2019	2019.06	8.58	-0.23	0.57	-0.07	-48.37	4.17	-40.04	1.01	-2.18	-1.22	3c3.A	2	2	0	0	80
A/Japan/9070/2019	2019.19	8.56	-0.22	0.54	-0.06	-51.24	8.22	-41.35	-3.58	-0.38	-2.65	3c3.A	2	2	0	0	81
A/Oklahoma/14/2019	2019.16	8.53	-0.23	0.55	-0.08	-50.24	7.88	-45.34	-2.44	-0.64	-2.86	3c3.A	2	2	0	0	82
A/Texas/7943/2019	2019.03	8.54	-0.36	0.61	-0.13	-50.45	9.28	-45.01	-3.34	-0.48	-3.05	3c3.A	2	2	0	0	83
A/NorthDakota/21/2019	2019.26	8.63	-0.23	0.58	-0.08	-52.60	6.90	-45.05	-1.62	0.25	-2.65	3c3.A	2	2	0	0	84
A/Oklahoma/8339/2019	2019.08	8.62	-0.23	0.56	-0.08	-52.62	6.35	-43.83	-1.12	0.25	-2.85	3c3.A	2	2	0	0	85
A/California/NHRC-OID_28773/2019	2019.17	8.62	-0.23	0.58	-0.08	-52.86	5.56	-43.16	-1.64	0.33	-2.95	3c3.A	2	2	0	0	86
A/Arizona/28/2019	2019.39	8.62	-0.23	0.57	-0.08	-54.01	5.79	-44.98	-0.69	0.49	-2.76	3c3.A	2	2	0	0	87
A/Minnesota/39/2019	2019.36	8.83	-0.25	0.64	-0.10	-54.37	9.98	-42.90	-4.64	0.74	-2.65	3c3.A	2	2	0	0	88
A/Minnesota/26/2019	2019.27	8.63	-0.23	0.59	-0.09	-53.74	7.39	-44.22	-4.19	0.62	-2.86	3c3.A	2	2	0	0	89
A/Germany/9059/2019	2019.14	8.63	-0.23	0.59	-0.09	-53.82	6.89	-43.65	-3.94	0.76	-2.64	3c3.A	2	2	0	0	90
A/NorthDakota/9094/2019	2019.20	8.62	-0.23	0.58	-0.08	-51.61	6.08	-43.43	-3.41	-0.44	-3.12	3c3.A	2	2	0	0	91
A/Texas/8692/2019	2019.08	8.65	-0.19	0.42	-0.44	-53.50	7.84	-42.92	-3.55	0.52	-3.08	3c3.A	2	2	0	0	92
A/NewHampshire/15/2019	2019.15	8.62	-0.22	0.58	-0.08	-51.56	6.18	-44.50	-2.81	-0.18	-3.12	3c3.A	2	2	0	0	93
A/Hawaii/48/2019	2019.45	8.62	-0.23	0.59	-0.05	-54.06	5.10	-42.58	-2.35	0.64	-2.62	3c3.A	2	2	0	0	94
A/California/54/2019	2019.09	8.62	-0.23	0.58	-0.08	-50.50	5.69	-43.94	-2.38	-0.92	-3.04	3c3.A	2	2	0	0	95
A/Italy/8939/2019	2019.10	8.62	-0.23	0.58	-0.08	-50.53	5.53	-43.94	-2.38	-1.23	-2.97	3c3.A	2	2	0	0	96
A/Tennessee/66/2019	2019.28	8.62	-0.23	0.59	-0.08	-51.67	5.60	-44.33	-1.76	-0.42	-2.97	3c3.A	2	2	0	0	97
A/Yokosuka/NHRC_OID_FDX70722/2019	2019.29	8.62	-0.23	0.58	-0.08	-50.47	5.84	-43.94	-2.38	-1.06	-2.79	3c3.A	2	2	0	0	98
A/Minnesota/36/2019	2019.34	8.62	-0.23	0.58	-0.08	-50.54	5.44	-43.94	-2.38	-1.29	-3.06	3c3.A	2	2	0	0	99
A/California/NHRC_OID_FDX40871/2019	2019.27	8.62	-0.23	0.58	-0.08	-50.48	5.77	-43.94	-2.38	-1.12	-3.16	3c3.A	2	2	0	0	100
A/Maryland/9628/2019	2019.29	8.62	-0.23	0.59	-0.08	-50.51	5.60	-43.94	-2.38	-1.17	-2.85	3c3.A	2	2	0	0	101
A/Chad/9833/2019	2019.59	0.31	0.47	-2.62	-0.13	-12.37	37.34	3.85	30.16	14.08	8.45	A3	-1	-1	3	3	102
A/Chad/9834/2019	2019.59	0.31	0.47	-2.62	-0.13	-12.58	35.71	3.85	30.15	13.89	8.80	A3	-1	-1	3	3	103
A/SouthAustralia/79/2018	2018.72	0.50	0.84	-1.89	-0.22	-17.99	-25.91	3.73	28.08	13.52	8.82	A3	-1	1	3	3	104
A/Utah/27/2018	2018.26	0.57	0.77	-1.96	-0.18	-18.09	-20.82	3.74	28.07	13.72	8.86	A3	-1	1	3	3	105
A/Hawaii/51/2019	2019.48	0.80	0.33	-2.44	-0.09	-16.15	32.96	3.78	28.01	13.92	8.73	A3	-1	-1	3	3	106
A/Victoria/2118/2018	2018.81	1.02	0.70	-1.89	-0.20	-19.92	-19.54	3.74	28.07	13.60	9.04	A3	-1	-1	3	3	107
A/SouthAustralia/10/2018	2018.25	-0.71	4.90	-0.61	0.10	-1.39	-24.52	-1.08	31.50	12.39	8.61	A2/re	0	1	3	3	108
A/Pernambuco/9511/2018	2018.33	-1.12	4.96	-0.62	-0.12	-1.99	-26.55	-0.99	31.48	12.88	8.46	A2/re	0	1	3	3	109
A/NewJersey/33/2018	2018.33	-1.53	4.90	-0.78	0.16	0.83	-22.67	-2.78	32.00	11.88	8.77	A2/re	0	1	3	3	110
A/Santiago/PUC-MVL_025/2018	2018.42	-1.54	4.93	-0.80	0.17	0.14	-25.47	-2.06	32.47	12.65	8.66	A2/re	0	1	3	3	111
A/Santiago/PUC-MVL_042/2018	2018.47	-1.54	4.91	-0.79	0.16	0.99	-22.73	-2.13	32.39	11.82	8.79	A2/re	0	1	3	3	112
A/Nebraska/08/2018	2018.55	-1.45	4.90	-0.76	0.15	-0.52	-22.15	-2.82	31.28	11.81	8.95	A2/re	0	1	3	3	113
A/Ohio/22/2018	2018.48	-1.45	4.90	-0.76	0.15	-0.94	-23.18	-2.84	31.23	12.17	8.95	A2/re	0	1	3	3	114
A/Brisbane/112/2018	2018.56	-1.79	4.43	-0.64	0.01	-0.25	-25.17	-3.46	29.68	12.71	8.57	A2/re	0	1	3	3	115
A/Brisbane/1002/2018	2018.54	-1.87	4.46	-0.67	0.02	10.31	-29.12	-3.51	29.58	13.08	8.50	A2/re	0	1	3	3	116
A/Brisbane/89/2018	2018.47	-1.87	4.44	-0.66	0.02	7.90	-25.92	-3.44	29.72	12.66	8.91	A2/re	0	1	3	3	117
A/Brisbane/73/2018	2018.44	-1.87	4.44	-0.66	0.02	5.57	-23.90	-3.43	29.74	12.23	8.78	A2/re	0	1	3	3	118
A/SouthAustralia/13/2018	2018.41	-1.59	5.34	-1.01	0.35	1.45	-24.13	-3.85	34.32	11.88	8.63	A2/re	0	1	3	3	119
A/Louisiana/17/2018	2018.40	-2.07	4.64	-0.80	0.11	7.35	-30.16	-3.80	33.58	13.09	7.83	A2/re	0	1	3	3	120
A/California/7330/2018	2018.33	-2.07	4.63	-0.79	0.11	2.63	-22.41	-3.89	33.81	11.47	8.86	A2/re	0	1	3	3	121
A/Brisbane/54/2018	2018.32	-1.29	5.24	-0.85	0.27	7.76	-28.70	-5.88	32.20	12.95	8.37	A2/re	0	1	3	3	122
A/Virginia/7393/2018	2018.28	-1.66	5.24	-0.95	0.28	3.99	-22.74	-6.10	32.08	11.72	8.65	A2/re	0	1	3	3	123
A/Indiana/28/2018	2018.52	-1.68	5.38	-1.00	0.33	9.93	-31.89	-6.28	31.94	13.44	7.98	A2/re	0	1	3	3	124
A/Virginia/53/2018	2018.35	-1.68	5.39	-1.01	0.33	10.46	-33.22	-6.52	31.73	13.64	7.88	A2/re	0	1	3	3	125
A/Maryland/48/2018	2018.82	-1.60	5.49	-1.04	0.36	6.09	-29.94	-4.92	33.48	13.19	7.67	A2/re	0	1	3	3	126
A/Sydney/83/2018	2018.51	-1.63	5.44	-1.37	0.49	2.15	-27.84	-2.07	34.85	12.68	7.91	A2/re	0	1	3	3	127
A/Sydney/93/2018	2018.42	-1.63	5.42	-1.35	0.49	5.52	-29.78	-1.76	35.11	13.01	7.99	A2/re	0	1	3	3	128
A/Sydney/47/2018	2018.43	-1.26	5.40	-1.25	0.47	0.17	-26.86	-1.98	34.94	12.58	8.20	A2/re	0	1	3	3	129
A/Victoria/701/2018	2018.72	-1.63	5.42	-1.35	0.48	2.44	-29.50	-1.74	35.07	13.03	7.72	A2/re	0	1	3	3	130
A/Sydney/55/2018	2018.46	-1.63	5.42	-1.35	0.48	2.08	-26.26	-2.04	34.92	12.39	8.06	A2/re	0	1	3	3	131
A/SouthAustralia/11/2018	2018.25	-1.59	5.43	-1.04	0.35	1.91	-24.74	-5.58	35.73	11.71	8.26	A2/re	0	1	3	3	132
A/Connecticut/32/2018	2018.35	-1.59	5.46	-1.02	0.35	2.08	-26.46	-6.17	34.51	12.20	7.98	A2/re	0	1	3	3	133
A/Arizona/37/2018	2018.40	-1.67	5.32	-1.03	0.34	5.79	-25.42	-4.11	36.09	12.09	8.08	A2/re	0	1	3	3	134
A/Ontario/245/2018	2018.31	-1.60	5.44	-0.96	0.48	5.35	-28.15	-4.82	36.94	12.83	7.87	A2/re	0	1	3	3	135
A/Quebec/219/2018	2018.26	-1.60	5.43	-0.97	0.49	2.66	-24.63	-4.83	36.63	11.52	8.33	A2/re	0	1	3	3	136
A/Idaho/20/2018	2018.29	-1.60	5.43	-1.05	0.38	2.28	-24.65	-4.42	35.39	11.61	8.22	A2/re	0	1	3	3	137
A/Ontario/239/2018	2018.26	-1.60	5.43	-1.04	0.37	2.17	-24.61	-4.44	35.35	11.78	8.23	A2/re	0	1	3	3	138
A/Brisbane/43/2018	2018.26	-1.63	5.43	-0.89	0.08	3.23	-23.16	-5.73	35.36	11.29	8.71	A2/re	0	1	3	3	139
A/Brisbane/55/2018	2018.30	-1.59	5.45	-1.01	0.35	2.34	-23.73	-5.17	35.38	11.21	8.56	A2/re	0	1	3	3	140
A/Sydney/515/2018	2018.30	-1.59	5.45	-1.01	0.34	2.19	-23.72	-5.31	34.86	11.15	8.47	A2/re	0	1	3	3	141
A/Sydney/92/2018	2018.26	-1.59	5.45	-1.01	0.34	2.16	-23.71	-5.31	34.86	11.24	8.40	A2/re	0	1	3	3	142
A/Texas/137/2018	2018.80	-1.24	5.52	-0.91	0.30	0.83	-27.63	-3.28	38.57	12.47	7.88	A2/re	0	1	3	3	143
A/Wisconsin/502/2018	2018.84	-1.59	5.51	-1.06	0.35	4.78	-32.88	-3.23	38.65	13.44	8.14	A2/re	0	1	3	3	144
A/Wisconsin/504/2018	2018.88	-1.87	5.55	-1.13	0.37	2.08	-32.26	-3.23	38.65	13.34	7.87	A2/re	0	1	3	3	145
A/Hawaii/42/2018	2018.40	-1.60	5.51	-1.05	0.36	2.85	-26.56	-6.87	36.05	12.11	7.69	A2/re	0	1	3	3	146
A/NewJersey/38/2018	2018.52	-1.69	5.47	-1.07	0.39	6.55	-27.33	-7.66	35.34	12.27	7.22	A2/re	0	1	3	3	147
A/Brisbane/57/2018	2018.35	-1.64	5.57	-0.94	0.12	5.18	-27.44	-7.17	36.83	12.13	7.41	A2/re	0	1	3	3	148
A/Virginia/44/2018	2018.27	-1.68	5.47	-1.02	0.37	5.58	-26.17	-8.52	37.63	11.57	7.64	A2/re	0	1	3	3	149
A/Brisbane/40/2018	2018.26	-1.61	5.58	-1.06	0.38	3.49	-26.80	-8.00	37.22	11.72	7.56	A2/re	0	1	3	3	150
A/Hawaii/45/2018	2018.48	-1.60	5.59	-1.07	0.38	5.29	-31.30	-8.60	38.67	13.54	7.24	A2/re	0	1	3	3	151
A/Guam/7222/2018	2018.34	-1.59	5.22	-1.81	0.55	1.02	-29.35	-10.66	35.31	13.50	7.04	A2/re	0	1	3	3	152
A/Florida/65/2018	2018.39	-1.59	5.45	-1.01	0.34	2.98	-25.24	-9.73	38.68	11.46	7.75	A2/re	0	1	3	3	153
A/Italy/8443/2019	2019.05	-1.59	5.46	-1.02	0.34	3.40	-30.05	-9.93	38.99	13.36	7.43	A2/re	0	1	3	3	154
A/Connecticut/39/2018	2018.93	-1.54	5.60	-1.04	0.41	3.21	-33.55	-8.24	40.33	13.79	7.58	A2/re	0	1	3	3	155
A/SouthKorea/8668/2019	2019.03	-1.45	5.56	-1.03	0.40	0.92	-33.82	-8.24	40.40	13.70	7.72	A2/re	0	1	3	3	156
A/Victoria/2020/2018	2018.40	-1.61	5.59	-1.07	0.38	3.60	-29.60	-10.15	36.30	13.10	7.12	A2/re	0	1	3	3	157
A/Alaska/43/2018	2018.35	-1.60	5.59	-1.07	0.39	3.88	-29.71	-10.08	37.01	13.22	6.99	A2/re	0	1	3	3	158
A/Alberta/061/2018	2018.26	-1.60	5.59	-1.06	0.39	3.50	-28.22	-9.45	36.38	12.51	7.36	A2/re	0	1	3	3	159
A/NewJersey/26/2018	2018.25	-1.60	5.59	-1.06	0.39	3.34	-26.85	-9.24	36.61	11.94	7.27	A2/re	0	1	3	3	160
A/Germany/7356/2018	2018.26	-1.60	5.60	-1.06	0.38	3.27	-28.17	-9.51	36.66	12.71	7.41	A2/re	0	1	3	3	161
A/Hawaii/43/2018	2018.42	-1.61	5.59	-1.06	0.38	4.05	-29.85	-9.18	37.75	13.31	7.02	A2/re	0	1	3	3	162
A/Brisbane/142/2018	2018.72	-1.59	5.66	-1.14	0.49	6.62	-35.20	-12.92	36.44	13.86	7.88	A2/re	0	1	3	3	163
A/Alaska/52/2018	2018.70	-1.55	5.35	-0.97	0.43	7.45	-36.61	-13.32	36.38	13.82	8.00	A2/re	0	1	3	3	164
A/Alaska/47/2018	2018.68	-1.59	5.73	-1.17	0.53	7.06	-36.41	-13.28	36.39	13.94	7.77	A2/re	0	1	3	3	165
A/Italy/7836/2018	2018.83	-1.59	5.73	-1.17	0.53	7.43	-37.54	-13.32	36.38	13.56	7.89	A2/re	0	1	3	3	166
A/Canberra/9/2018	2018.45	-1.24	5.57	-0.96	0.38	1.15	-27.34	-8.25	35.72	12.21	7.16	A2/re	0	1	3	3	167
A/Quebec/217/2018	2018.26	-1.61	5.56	-1.10	0.38	3.24	-25.36	-8.26	36.66	11.19	7.68	A2/re	0	1	3	3	168
A/Sydney/521/2018	2018.27	-1.61	5.57	-1.07	0.38	3.34	-25.59	-8.25	36.68	11.18	7.87	A2/re	0	1	3	3	169
A/Vermont/22/2018	2018.31	-1.60	5.58	-1.06	0.38	3.30	-25.57	-8.07	36.42	11.36	7.85	A2/re	0	1	3	3	170
A/Newcastle/22/2018	2018.33	-1.60	5.58	-1.06	0.38	3.21	-25.58	-8.25	36.68	11.08	7.61	A2/re	0	1	3	3	171
A/Victoria/901/2018	2018.64	-1.62	5.57	-0.99	0.57	4.46	-27.92	-7.14	38.21	12.47	7.07	A2/re	0	1	3	3	172
A/Victoria/1003/2018	2018.76	-1.61	5.60	-1.07	0.39	4.35	-29.78	-7.06	38.73	13.17	7.17	A2/re	0	1	3	3	173
