strain,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca_label
A/Alabama/23/2019,-2.9586440892435646,-0.4378656363318766,1.507052778684089,-1.5457227620260912,-0.06750484390000011,0.031361954362023985,-0.06649585813251488,0.8725864846795762,-0.2515202219855033,-0.0024523884103073673,-1
A/NorthDakota/25/2019,-2.9577610532902354,-0.4365442792771941,1.5058968654110338,-1.5492211593589922,-0.07685444769462135,0.030376758859706424,-0.06579532182841497,0.8642925335585521,-0.2469301657855172,-0.00275927023872952,-1
A/Hawaii/08/2019,-2.9495613031757424,-0.39649539682628854,1.5782322460752014,-1.5512261809396997,0.13816261103666574,0.09765533759151912,0.03369424648811799,0.09591775478744625,-0.3385112487476141,-0.08412087944986768,8
A/Montana/60/2019,-2.9478296254062015,-0.389795723909589,1.5784876075084726,-1.5486291222440334,0.1376649006110267,0.0849983490519851,0.04209210313439658,0.10397334353333204,-0.373418677841722,-0.10076625145518686,8
A/Maryland/31/2019,-2.9536323852931767,-0.4052157680610781,1.565467483778199,-1.5668940889191492,0.10293650958208066,0.08705337699719744,0.03381459085169299,0.07616391044346069,-0.4120598353187137,-0.07267735812820754,8
A/Utah/37/2019,-2.8766770281380043,-0.2699138758274132,1.5294249858599647,-1.5389863608127563,0.09079495750896406,0.14538269489091987,0.07934937306452346,0.07746388882361262,-0.4329624468924112,-0.08492642548202801,8
A/Texas/361/2019,-2.9547103699467345,-0.40167476917929396,1.5666030011642553,-1.574843504391711,0.10562022079643756,0.08207143559470081,0.03510893125015135,0.07984410781129733,-0.425600860872337,-0.05337597168306794,8
A/Hawaii/36/2019,-3.0380959597217214,-0.3908335798911244,1.5344352797064547,-1.5598416786221683,0.0984361237124995,0.06919593219304335,-0.0292862313987365,0.12108171050228637,-0.39070011705980523,-0.021158816605260308,8
A/Alaska/35/2019,-2.974005096453071,-0.41096056077056253,1.6394125349500153,-1.7182750135712073,0.13847664021794387,0.16148487293819405,0.14777012767141043,0.20634671073786365,-1.0562005328346389,-0.3609240991440412,9
A/Florida/110/2019,-2.9789323753649466,-0.4129540898902606,1.6566084148349085,-1.7578043911879249,0.14507086310113587,0.17159229339202306,0.15927595038313852,0.23024906615410615,-1.2089432948473477,-0.42174243547257145,9
A/Minnesota/49/2019,-2.9766309483224873,-0.412021374878949,1.6485389978570326,-1.7391334168244597,0.14191710322890952,0.16672251149643846,0.15369141037900783,0.21844086305965524,-1.1325132144421468,-0.3909958046531721,9
