comparison,mean,median,std,group,dataset_name
between,41.817212533853045,38.0,17.962954162365072,clade_membership,seasonal-flu-h3n2-ha-2018-2020
within,9.07020392001584,9.0,4.129796352758433,clade_membership,seasonal-flu-h3n2-ha-2018-2020
between,44.44037389581288,40.0,16.549342411454894,pca_label,seasonal-flu-h3n2-ha-2018-2020
within,10.7887673261793,10.0,5.246334126821668,pca_label,seasonal-flu-h3n2-ha-2018-2020
between,43.23207370869514,39.0,17.09172723418074,mds_label,seasonal-flu-h3n2-ha-2018-2020
within,9.564426147826868,9.0,4.542793429675028,mds_label,seasonal-flu-h3n2-ha-2018-2020
between,42.963414980957154,39.0,17.230546821420713,t-sne_label,seasonal-flu-h3n2-ha-2018-2020
within,9.342378454419878,9.0,4.385371809002697,t-sne_label,seasonal-flu-h3n2-ha-2018-2020
between,42.87620968799448,39.0,17.345699108783283,umap_label,seasonal-flu-h3n2-ha-2018-2020
within,9.559078692205627,9.0,4.619820353987725,umap_label,seasonal-flu-h3n2-ha-2018-2020
between,49.22564879228661,44.0,13.63682133623794,genetic_label,seasonal-flu-h3n2-ha-2018-2020
within,13.9578075783274,14.0,6.6996419223836,genetic_label,seasonal-flu-h3n2-ha-2018-2020
