,mds1,mds2,mds3,mds4,mds5,mds6,mds7,mds8,mds9,mds10
U26830.1,-40.28026189308654,15.134153230711691,-66.97557398183278,35.193436250869844,15.159418412459853,-78.75814616098359,-33.12149844677108,83.8426869307436,-21.503384093968428,63.2366928073425
A/Alabama/30/2017,-5.511746657102959,10.060326312945193,1.4884673432941906,3.5564697998394874,0.049783579851221865,-2.021560902044594,-8.582462812645767,-13.135987502599736,-11.078963236817495,4.0605710536743125
A/Florida/84/2017,-3.571803871704305,12.905887651391106,0.9321887626759386,2.195609978899095,-2.5898135605135346,-3.2553340247811158,-5.961497967460941,-12.93651348186269,-11.16298343465204,3.009766051976437
A/NorthDakota/23/2017,-3.9103996139846426,10.144261365487129,0.7869059036859433,2.6518887052658564,-0.7126959603894131,0.06595868387054712,-8.168372695391563,-11.812588835414452,-13.332979446480103,5.290151989665198
A/Florida/18/2018,-2.172450278436795,11.297149221127839,2.9260714726150145,1.323542141416919,-0.6727248842728892,0.1397517205554651,-7.2778153578260385,-11.176896910048344,-12.207337663074698,5.022516901967559
A/Indiana/31/2017,-3.036823117005315,11.344916499614007,5.0918910639184665,1.3485711542552232,0.7793411419445987,-1.8132832573165538,-9.218283483108504,-10.682117659078008,-11.589926481085632,7.008166414610424
A/SouthAustralia/13/2018,-4.890994444981848,8.147925274963686,2.0298351492388487,1.1005043518970414,-1.489425399791141,-2.3143998165205932,-6.131430092733755,-12.04387299411029,-11.19611509807154,5.024470425716474
A/Sydney/25/2018,-4.423957700192691,10.019383839255834,4.7121750713441095,1.7876782420355621,0.9964813940980147,-0.06816054181116867,-10.404250666635647,-14.828487445293973,-11.858357779712653,0.08097392373635935
A/Newcastle/21/2018,-2.29155318125018,11.687453234278067,4.559622778103742,0.7907514881407748,-2.792968440223824,-1.6472358623517607,-7.281369683835421,-11.547898575041774,-12.534170199340393,0.8867999007925832
A/Sydney/55/2018,-1.043625154803459,11.463250097811551,4.339595680540512,-1.0891727566238916,-0.5940424863027981,-1.9502592431412216,-8.34710710306017,-10.87417879910225,-12.026222867408526,2.2856501420385897
A/Sydney/93/2018,-2.007096225432229,12.844451076159443,6.2384801271843475,-1.3734772950188625,-2.4226771729712064,-3.372353120578373,-8.09386830820738,-12.312385842495422,-12.772227593443514,3.483461840552125
A/Sydney/47/2018,0.07284564988447634,12.28900005251211,2.7622061905483757,-1.7474107896970703,-1.9653715614714302,-0.90933014596568,-8.476202533397938,-11.622189721666464,-11.970703944785887,1.3179312075450815
A/Alaska/46/2018,1.16117872148466,9.961077355740526,1.6439985265157044,3.387296221908497,2.3768677733929966,-3.1501948217888947,-6.341504442106954,-11.302631874546316,-11.579804087415585,2.952947341427595
