,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10
U26830.1,2.22260908462329,-0.2357757587175004,2.1706179128741656,1.8357741521885598,1.856852119115972,0.5859344859578858,-1.6614419405601446,16.975935383880657,-1.006501680695779,-1.7122201231575922
A/Alabama/30/2017,-1.942113264136865,4.284939452288395,0.3209943062891446,-0.3085573564970922,0.05215625084321736,0.3267336567247383,0.2503138948124631,-0.026282502517930732,-0.01820243191390813,0.3405864708495148
A/Florida/84/2017,-1.9435380937400388,4.2787401698151974,0.23984647046949045,-0.24364537190412716,0.11860804852210263,-0.15724065578808727,-0.16630084064156658,-0.02438705996112407,0.10736039076206266,0.35397142264575165
A/NorthDakota/23/2017,-1.9424051277195582,4.279251259490292,0.2408677382572548,-0.244149866369501,0.11630711077260365,-0.1583566020800787,-0.1666868403337477,-0.02484719046194349,0.10365853704716854,0.3553168347270733
A/Florida/18/2018,-2.216793102524075,4.221553762964148,0.3154428726201703,-0.25573100827746215,0.11152965656106367,-0.07165734901451118,-0.13106971110577129,0.022087062757755408,-0.011414486779718755,0.37967771233170633
A/Indiana/31/2017,-2.210462775611371,4.22048875404337,0.36398657834980275,-0.17701539590201026,0.07666768867663275,0.06266577493654568,0.008471621437915602,0.016319915309263987,0.04411246880650739,0.35437920219247426
A/SouthAustralia/13/2018,-2.170311956600581,4.079537027435443,0.31065399279975797,-0.2384149765311849,0.09323187636172711,-0.0039954478132713704,-0.10825206602051704,-0.0028398896568185695,0.01262976185611638,0.4846584057768684
A/Sydney/25/2018,-2.2179300568724534,4.207788740463427,0.31417858242377034,-0.33800345519447317,0.12819158597414146,-0.04255162744779589,-0.16045867940552985,-0.016199296446062713,0.012668494077857589,0.4907143839205732
A/Newcastle/21/2018,-2.332069331546436,3.809557803083969,0.6480771692346404,-0.2261289704879074,0.3531529125517107,-1.331231430005749,0.8048891846011912,-0.018497565416907665,0.13544404902293877,0.7334490113834029
A/Sydney/55/2018,-2.239304857712634,4.094989588665519,0.7247747002338822,-0.23963192735248448,0.4052168764135866,-1.2212041264380797,0.882865042472688,-0.00013536013932923853,0.1314558165541302,0.5773368957695844
A/Sydney/93/2018,-2.239454464806363,4.095692742586991,0.722736406643223,-0.23891803422977254,0.4165767976426337,-1.2231218056624682,0.8854859596033591,-0.0017144271981582022,0.12833168709426446,0.583873275184526
A/Sydney/47/2018,-1.869909888661925,4.162997350832069,0.5844477966432623,-0.31442976349207724,0.45092349715142294,-1.4210956244259911,0.771202535075192,0.24938984045578824,0.386734244811953,0.608770607100816
A/Alaska/46/2018,-2.2521426288736057,4.319115334043753,0.3428314674001048,-0.28421470827582324,0.16677041027574666,-0.12183753977075118,-0.2578545144255355,-0.08650202581891042,-0.010055053288547139,-0.38613124608872573
A/Brisbane/161/2018,-2.254396496410914,4.324773064285826,0.35418576608511676,-0.26400691549506733,0.16893728456247137,-0.12410091155220586,-0.2668355392249568,-0.09318034266323559,-0.01075562533614279,-0.39228396439683993
A/Victoria/2036/2018,-2.252040407728919,4.321925149462289,0.38059890486270576,-0.19457728832448629,0.17092277561089736,-0.12133232500319982,-0.2593539536686293,-0.10760846405581063,-0.015333831844020526,-0.4373989933627382
A/Brisbane/28/2018,-2.250876246769356,4.318885238726999,0.3796369267894736,-0.193911546316279,0.16968075075608638,-0.12016791712252224,-0.2564888485531188,-0.10658155316307379,-0.014935417178878495,-0.42516430327594656
