strain,mds1,mds2,mds3,mds4,mds5,mds6,mds7,mds8,mds9,mds10,label
A/Alabama/02/2016,1.3066202071538535,9.004414379400663,4.0754809148183995,-4.069063559017235,-2.7191425613002007,5.409470261477031,4.822733375440622,1.7138700624064984,3.4723059168021697,2.3996914660051525,-1
A/Oregon/05/2016,0.002692996736638199,7.012525806052095,3.3947183290242107,-3.474645271924386,-1.0937557732299954,3.4225320591776467,4.246659874452612,2.0302278481345652,2.561184813973259,2.9747171854840744,3
A/SouthDakota/01/2016,0.047732876845123076,7.104445143125137,3.4335147844527953,-3.2847528624203655,-1.0057301820930784,3.5096491660915317,4.287514837328677,2.0031676618381544,2.527149958279591,2.8896638317493157,3
A/Utah/36/2016,3.0172081549583942,9.455626841521427,3.0575502796499796,-5.234264849072641,-2.5281509674611673,7.2016195185095375,3.9453949913093336,2.324908825792713,4.4687340913348175,2.547236211764338,-1
A/Alaska/22/2016,2.639906984415541,8.664009323443462,5.894005722178752,-4.371866275733436,-3.598327672993407,7.0282497523840775,5.811084946692521,-0.11808163938750325,5.682097723224993,4.924045575380096,-1
A/Hawaii/47/2016,2.2972326815300286,8.492765700164695,5.58664756990622,-4.36764876539632,-3.18035115875123,6.318566120099722,5.096462307112071,0.6838217155796241,4.469764606068154,4.348594343277839,3
A/SouthAustralia/148/2016,2.3679122038114215,8.346696499634643,7.288970301105055,-5.121230249658442,-5.244682068858755,5.652160384131075,6.101193342313892,-0.842474989009431,6.158724522253347,6.783773549829481,-1
A/Pennsylvania/62/2016,3.4520152586036077,9.681970720938777,7.034469362064828,-5.395693988934454,-4.408766928771993,7.820108936941854,4.677603416606806,0.0014839640520381181,5.422686755737548,4.448508771451054,-1
A/SouthAustralia/18/2016,2.489669323229419,8.834904019127668,5.16341950828306,-4.923716053635665,-3.3786415583394205,6.348850457200814,4.586757478897511,1.2712879909167667,4.206824111075536,3.8469226124003177,3
A/California/137/2016,3.515465475253005,9.869505323915353,7.0374370049461,-5.0705720714589795,-5.239427639763835,7.860182035713227,6.011284718320367,-0.9879912787246482,6.978658044609058,5.247960235821029,-1
A/Nebraska/24/2016,4.636255115415655,10.086999537234838,6.67208362384515,-5.434756184493129,-4.721099861797899,8.770904146809983,5.212715052318873,0.3375072330882655,6.03895308856432,5.132927221123563,-1
A/Gainesville/10/2016,0.9020523991066893,7.668760794232334,6.84324488595386,-5.46324088779153,-4.87518153534312,6.995430712189714,7.243357009430888,-0.23064992788335037,7.041767722600448,7.9166015868239565,-1
