comparison,mean,median,std,group,dataset_name
between,26.804441644479844,26.0,10.22249327994426,clade_membership,seasonal-flu-h3n2-ha-2016-2018
within,9.87111275552678,9.0,4.689083191083265,clade_membership,seasonal-flu-h3n2-ha-2016-2018
between,28.05975841221589,27.0,9.676702364281148,pca_label,seasonal-flu-h3n2-ha-2016-2018
within,11.1958162388702,11.0,5.266257494683079,pca_label,seasonal-flu-h3n2-ha-2016-2018
between,27.93371868854156,26.0,9.626089638292298,mds_label,seasonal-flu-h3n2-ha-2016-2018
within,10.421815009479715,10.0,4.631112415063277,mds_label,seasonal-flu-h3n2-ha-2016-2018
between,26.59569767991305,26.0,10.262339249604189,t-sne_label,seasonal-flu-h3n2-ha-2016-2018
within,9.106691623771642,9.0,4.061476416953875,t-sne_label,seasonal-flu-h3n2-ha-2016-2018
between,27.03530340128785,26.0,10.195254934210856,umap_label,seasonal-flu-h3n2-ha-2016-2018
within,10.811896379082013,10.0,5.446424150596052,umap_label,seasonal-flu-h3n2-ha-2016-2018
between,30.25461848154035,28.0,9.206406055983724,genetic_label,seasonal-flu-h3n2-ha-2016-2018
within,14.329666567501077,14.0,6.378455477311905,genetic_label,seasonal-flu-h3n2-ha-2016-2018
