dataset,method,n_clusters,n_cluster_transitions,n_extra_transitions,clusters,transitions
seasonal-flu-h3n2-ha-na-2016-2018,PCA (HA only),7,6,0,"['-1', '0', '1', '2', '3', '4', '5']","[('0', '2'), ('2', '1'), ('2', '3'), ('3', '5'), ('5', '3'), ('5', '4')]"
seasonal-flu-h3n2-ha-na-2016-2018,MDS (HA only),9,8,0,"['-1', '0', '1', '2', '3', '4', '5', '6', '7']","[('-1', '0'), ('-1', '2'), ('2', '3'), ('-1', '6'), ('-1', '1'), ('6', '7'), ('6', '4'), ('-1', '5')]"
seasonal-flu-h3n2-ha-na-2016-2018,t-SNE (HA only),16,14,0,"['-1', '0', '1', '10', '11', '12', '13', '14', '2', '3', '4', '5', '6', '7', '8', '9']","[('1', '5'), ('1', '0'), ('5', '7'), ('7', '4'), ('7', '8'), ('7', '6'), ('6', '3'), ('6', '14'), ('14', '13'), ('14', '12'), ('12', '10'), ('12', '11'), ('14', '9'), ('14', '2')]"
seasonal-flu-h3n2-ha-na-2016-2018,UMAP (HA only),7,6,0,"['0', '1', '2', '3', '4', '5', '6']","[('3', '5'), ('3', '2'), ('5', '6'), ('5', '1'), ('5', '4'), ('4', '0')]"
seasonal-flu-h3n2-ha-na-2016-2018,genetic (HA only),9,8,0,"['-1', '0', '1', '2', '3', '4', '5', '6', '7']","[('-1', '1'), ('-1', '0'), ('-1', '2'), ('-1', '3'), ('-1', '4'), ('-1', '5'), ('3', '7'), ('3', '6')]"
seasonal-flu-h3n2-ha-na-2016-2018,PCA (HA/NA),10,9,1,"['-1', '0', '1', '2', '3', '4', '5', '6', '7', '8']","[('0', '8'), ('0', '1'), ('8', '7'), ('8', '6'), ('8', '6'), ('6', '2'), ('2', '3'), ('-1', '5'), ('5', '4')]"
seasonal-flu-h3n2-ha-na-2016-2018,MDS (HA/NA),18,17,2,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '2', '3', '4', '5', '6', '7', '8', '9']","[('-1', '0'), ('-1', '2'), ('2', '1'), ('-1', '8'), ('-1', '6'), ('6', '5'), ('-1', '11'), ('-1', '10'), ('-1', '4'), ('4', '3'), ('-1', '14'), ('14', '15'), ('15', '12'), ('14', '7'), ('7', '9'), ('7', '9'), ('7', '9')]"
seasonal-flu-h3n2-ha-na-2016-2018,t-SNE (HA/NA),18,19,3,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '2', '3', '4', '5', '6', '7', '8', '9']","[('6', '1'), ('6', '5'), ('1', '14'), ('14', '0'), ('14', '13'), ('14', '11'), ('14', '10'), ('14', '2'), ('2', '3'), ('11', '16'), ('16', '15'), ('16', '9'), ('15', '12'), ('11', '4'), ('4', '7'), ('4', '8'), ('4', '8'), ('4', '7'), ('4', '7')]"
seasonal-flu-h3n2-ha-na-2016-2018,UMAP (HA/NA),8,11,3,"['0', '1', '2', '3', '4', '5', '6', '7']","[('0', '3'), ('3', '1'), ('3', '4'), ('4', '2'), ('3', '5'), ('5', '7'), ('7', '6'), ('7', '6'), ('7', '6'), ('7', '6'), ('6', '7')]"
seasonal-flu-h3n2-ha-na-2016-2018,genetic (HA/NA),25,40,10,"['-1', '0', '1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '3', '4', '5', '6', '7', '8', '9']","[('-1', '0'), ('-1', '1'), ('1', '2'), ('-1', '3'), ('-1', '13'), ('13', '14'), ('13', '14'), ('-1', '5'), ('5', '6'), ('-1', '3'), ('-1', '11'), ('-1', '15'), ('15', '16'), ('15', '16'), ('15', '16'), ('-1', '19'), ('19', '17'), ('19', '20'), ('19', '7'), ('19', '21'), ('19', '18'), ('19', '12'), ('19', '10'), ('19', '12'), ('19', '21'), ('21', '20'), ('-1', '10'), ('-1', '18'), ('21', '20'), ('20', '18'), ('19', '22'), ('19', '20'), ('20', '19'), ('20', '23'), ('20', '23'), ('-1', '8'), ('8', '9'), ('8', '9'), ('-1', '7'), ('8', '4')]"
