,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
A/Sydney/19/2018,0,12,15,17,55,55,55,55,57,56,60,55,52,61,61,62,56,56,56,62,59,57,57,58,55,57,59,62,57,55,61,58,59,59,57,63,58,54,55,55,54,57,59,59,62,59,68,52,55,54,53,55,57,55,57,59,55,55,63,66,65,60,55,57,57,56,54,54,58,57,56,61,54,49,60,62,64,56,53,58,54,60,64,60,55,56,55,54,58,56,56,59,65,66,63,69,67,69,63,66,68,60,60,60,72,58,61,59,56,58,56,59,60,59,61,61,58,61,66,63,57,58,58,58,59,57,62,63,64,66,57,58,57,55,57,66,63,58,59,63,64,57,57,60,65,60,62,66,64,61,71,67,60,70,68,68,74,78,77,74,70,67,68,80,72,67,72,72,68,68,70,68,71,70,67,69,74,66,65,67,68,67,68,70,70,73,71,70,70,67,68,66,67,69,68,67,68,68,68,69,70,70,67,67,67,64,68,68,68,65,69,70,70,67,66,66,70,68,73,69,67,68,68,75,70,75,70,54,79,74,77,76,81,80,81,81,82,81,84,83,86,85,89,86,86,88,87,83,85,84,85,86,84,62,37,34,68
A/Italy/7413/2018,12,0,11,15,50,49,50,50,52,51,55,50,47,56,56,57,51,51,51,57,54,52,52,53,50,52,54,57,52,50,56,53,54,54,52,58,53,48,50,50,49,52,54,54,57,54,64,47,50,49,48,50,52,50,52,54,50,50,58,61,60,55,50,52,52,51,49,49,53,52,51,56,48,44,55,57,59,51,48,53,49,55,59,55,50,51,50,49,53,51,53,54,60,61,58,64,62,64,58,61,63,55,55,55,67,53,56,54,51,53,51,54,55,54,56,56,53,56,61,58,52,52,52,52,54,52,57,58,59,61,52,53,52,50,52,61,58,55,54,58,59,52,52,55,60,55,57,61,59,56,66,63,55,65,63,63,71,73,75,72,66,63,64,78,70,65,68,68,63,63,65,63,66,65,62,64,69,61,60,62,63,62,63,65,65,68,65,65,65,62,63,61,62,64,63,62,63,63,63,64,65,65,62,62,62,59,63,63,63,60,64,65,65,62,61,61,65,63,68,64,64,63,63,70,65,71,66,47,75,70,73,72,77,76,77,77,78,77,80,79,82,81,85,82,82,84,83,79,81,80,81,83,78,56,33,30,62
A/Homosapien/China/LS203/2018,15,11,0,10,53,52,53,53,55,54,58,51,50,59,59,60,54,54,54,60,57,55,55,56,53,55,57,60,55,53,59,56,57,57,55,61,56,51,53,53,52,55,57,57,60,57,67,50,53,52,51,53,55,53,55,57,53,53,61,64,63,58,53,55,55,54,52,52,56,55,54,59,51,47,58,60,62,54,51,54,50,58,62,58,53,54,53,52,56,54,56,57,63,62,61,67,65,67,61,64,66,58,58,58,70,56,59,57,54,56,54,57,58,57,59,55,56,59,64,61,55,55,55,55,57,55,60,61,62,64,55,56,55,53,55,64,61,58,57,61,62,55,55,58,63,58,60,64,62,59,69,64,58,68,66,66,74,76,78,75,69,66,67,81,73,68,71,71,66,66,68,66,69,68,65,67,72,64,63,65,66,65,66,68,68,71,68,68,68,65,66,64,65,67,66,65,66,66,66,67,68,68,65,65,65,62,66,66,66,63,65,68,68,65,64,64,68,66,71,67,67,66,66,73,68,74,67,52,78,73,76,75,80,79,80,80,81,80,83,82,85,84,88,85,85,87,86,82,84,83,82,86,81,59,36,33,65
A/SouthKorea/7184/2018,17,15,10,0,57,56,57,57,59,58,62,55,54,63,63,64,58,58,58,64,61,59,59,60,57,59,61,64,59,57,63,60,61,61,59,65,60,55,57,57,56,59,61,61,64,61,70,54,57,56,55,57,59,57,59,61,57,57,65,68,67,62,57,59,59,58,56,56,60,59,58,63,55,51,62,64,65,58,55,60,56,62,66,62,57,58,57,56,60,58,60,61,65,66,65,71,69,71,65,68,70,62,62,62,74,60,63,61,58,60,58,61,62,61,63,59,60,63,68,65,59,59,59,59,61,59,64,65,66,68,59,60,59,57,59,68,65,62,61,65,66,59,59,62,67,62,64,68,66,63,73,68,62,72,70,70,78,80,82,79,73,70,71,85,77,72,75,75,70,70,72,70,73,72,69,71,76,68,67,69,70,69,70,72,72,75,72,72,72,69,70,68,69,71,70,69,70,70,70,71,72,72,69,69,69,66,70,70,70,67,71,72,72,69,68,68,72,70,75,71,71,70,68,77,72,78,71,56,82,77,80,79,84,83,84,84,85,84,87,86,89,88,92,89,89,91,90,86,88,87,88,88,83,63,40,37,69
A/Alaska/46/2018,55,50,53,57,0,5,4,4,6,5,9,10,9,10,10,11,5,5,5,11,8,6,12,7,10,16,16,17,16,13,18,7,9,8,14,12,7,27,17,17,18,23,25,25,36,31,18,7,10,11,8,4,6,4,6,8,4,4,12,15,14,11,6,6,12,11,9,11,15,14,11,12,27,13,17,11,13,20,8,19,16,48,52,48,43,46,43,44,48,39,47,47,53,54,51,57,55,57,51,54,58,48,48,37,60,48,51,47,46,48,46,49,52,49,49,51,48,51,54,53,48,47,47,47,47,45,50,51,52,54,45,46,45,43,40,49,48,43,42,48,47,45,43,50,53,48,50,54,54,47,59,58,48,63,61,57,64,68,60,59,51,50,51,63,57,52,55,55,50,50,52,50,53,52,49,51,56,48,47,49,50,49,50,52,52,55,52,50,50,49,50,48,49,51,50,49,51,50,50,51,52,50,49,49,49,46,50,50,50,47,51,52,52,51,48,48,52,50,55,51,51,50,50,57,50,58,59,66,77,71,74,73,76,77,76,78,79,78,81,80,84,82,86,83,83,85,82,78,82,81,82,86,83,56,68,65,49
A/Brisbane/10/2018,55,49,52,56,5,0,5,5,7,6,10,11,10,11,11,12,6,6,6,12,9,7,13,8,11,17,17,18,17,14,19,8,10,9,15,13,8,26,18,18,19,24,26,26,37,32,19,8,11,12,9,5,7,5,7,9,5,5,13,16,15,12,7,7,13,12,10,12,16,15,12,13,26,14,18,12,12,21,9,21,17,49,53,49,44,47,44,45,49,40,48,48,54,55,52,58,56,58,52,55,59,49,49,38,61,49,52,48,47,49,47,50,53,50,50,52,49,52,55,54,49,46,46,46,48,46,51,52,53,55,46,47,46,44,41,50,49,44,43,49,48,46,44,51,54,49,51,55,55,48,60,57,49,64,62,58,65,69,63,60,52,51,52,66,58,53,56,56,51,51,53,51,54,53,50,52,57,49,48,50,51,50,51,53,53,56,51,51,51,50,51,49,50,52,51,50,52,51,51,52,53,51,50,50,50,47,51,51,51,48,52,53,53,52,49,49,53,51,56,52,52,51,51,58,51,59,58,67,77,71,74,73,76,77,76,78,79,78,81,80,84,82,86,83,83,85,82,78,82,81,82,87,82,55,68,65,48
A/Newcastle/22/2018,55,50,53,57,4,5,0,4,6,5,9,10,9,10,10,11,5,5,5,11,8,6,12,7,10,16,16,17,16,13,18,7,9,8,14,12,7,27,17,17,18,23,25,25,36,31,18,7,10,11,8,4,6,4,6,8,4,4,12,15,14,11,6,6,12,11,9,11,15,14,11,12,27,13,17,11,13,20,8,20,16,48,52,48,43,46,43,44,48,39,47,47,53,54,51,57,55,57,51,54,58,48,48,37,60,48,51,47,46,48,46,49,52,49,49,51,48,51,54,53,48,47,47,47,47,45,50,51,52,54,45,46,45,43,40,49,48,43,42,48,47,45,43,50,53,48,50,54,54,47,57,58,48,63,61,57,62,66,62,59,51,50,51,63,57,52,55,55,50,50,52,50,53,52,49,51,56,48,47,49,50,49,50,52,52,55,52,50,50,49,50,48,49,51,50,49,51,50,50,51,52,50,49,49,49,46,50,50,50,47,51,52,52,51,48,48,52,50,55,51,51,50,50,57,50,58,59,66,77,71,74,73,76,77,76,78,79,78,81,80,84,82,86,83,83,85,82,78,82,81,82,86,83,56,68,65,49
A/Brisbane/23/2018,55,50,53,57,4,5,4,0,6,5,9,10,9,10,10,11,5,5,5,11,8,6,12,7,10,16,16,17,16,13,18,7,9,8,14,12,7,27,17,17,18,23,25,25,36,31,18,7,10,11,8,4,6,4,6,8,4,4,12,15,14,11,6,6,12,11,9,11,15,14,11,12,27,13,17,11,13,20,8,20,16,48,52,48,43,46,43,44,48,39,47,47,53,54,51,57,55,57,51,54,58,48,48,37,60,48,51,47,46,48,46,49,52,49,49,51,48,51,54,53,48,47,47,47,47,45,50,51,52,54,45,46,45,43,40,49,48,43,42,48,47,45,43,50,53,48,50,54,54,47,59,58,48,63,61,57,64,68,62,59,51,50,51,65,57,52,55,55,50,50,52,50,53,52,49,51,56,48,47,49,50,49,50,52,52,55,52,50,50,49,50,48,49,51,50,49,51,50,50,51,52,50,49,49,49,46,50,50,50,47,51,52,52,51,48,48,52,50,55,51,51,50,50,57,50,58,59,66,77,71,74,73,76,77,76,78,79,78,81,80,84,82,86,83,83,85,82,78,82,81,82,86,83,56,68,65,49
A/Newcastle/7/2018,57,52,55,59,6,7,6,6,0,7,11,12,11,10,10,11,7,7,7,13,10,8,14,9,12,18,18,19,18,15,20,9,11,10,16,14,9,29,18,18,20,25,27,27,38,33,20,9,12,13,10,6,8,6,8,10,6,6,12,15,14,13,8,8,14,13,11,13,17,16,13,14,29,15,19,13,15,22,10,22,18,50,54,50,45,48,45,46,50,41,49,49,55,56,53,57,57,59,53,56,58,50,50,39,60,50,53,49,48,50,48,51,54,51,51,51,50,53,56,55,50,49,49,49,49,47,52,53,54,56,47,48,47,45,42,51,50,45,44,50,49,47,45,52,53,50,52,56,56,49,61,60,50,65,63,59,66,70,64,61,53,52,53,67,59,54,57,57,52,52,54,52,55,54,51,53,58,50,49,51,52,51,52,54,54,57,54,52,52,51,52,50,51,53,52,51,53,52,52,53,54,52,51,51,51,48,52,52,52,49,53,54,54,53,50,50,54,52,57,53,53,52,52,59,52,60,61,68,79,73,76,75,78,79,78,80,81,80,83,82,86,84,88,85,85,87,84,80,84,83,84,86,85,58,70,67,51
A/Victoria/2036/2018,56,51,54,58,5,6,5,5,7,0,4,11,10,11,11,12,6,6,6,12,9,7,13,8,11,17,17,18,17,14,19,8,10,9,15,13,8,28,18,18,19,24,26,26,37,32,19,8,11,12,9,5,7,5,7,9,5,5,13,16,15,12,7,7,13,12,10,12,16,15,12,13,28,14,18,12,14,21,9,21,17,49,53,49,44,47,44,45,49,40,48,48,54,55,52,58,56,58,52,55,59,49,49,38,61,49,52,48,47,49,47,50,53,50,50,52,49,52,55,54,49,48,48,48,48,46,51,52,53,55,46,47,46,44,41,50,49,44,43,49,48,46,44,51,54,49,51,55,55,48,60,59,49,64,62,58,65,69,63,60,52,51,52,66,58,53,54,56,51,51,53,51,54,53,50,52,57,49,48,50,51,50,51,53,53,56,53,51,51,50,51,49,50,52,51,50,52,51,51,52,53,51,50,50,50,47,51,51,51,48,52,53,53,52,49,49,53,51,56,52,52,51,51,58,51,59,58,67,78,72,75,74,77,78,77,79,80,79,82,81,85,83,87,84,84,86,83,79,83,82,83,87,84,57,69,66,50
A/Victoria/901/2018,60,55,58,62,9,10,9,9,11,4,0,15,14,15,15,16,10,10,10,16,13,11,17,12,15,21,21,22,21,18,23,12,14,13,19,17,12,32,22,22,23,28,30,30,41,36,23,12,15,16,13,9,11,9,11,13,9,9,17,20,19,16,11,11,17,16,14,16,20,19,16,17,30,18,22,16,18,25,13,25,21,53,57,53,48,51,48,49,53,44,52,52,58,59,56,62,60,62,56,59,63,53,53,42,65,53,56,52,51,53,51,54,57,54,54,56,53,56,59,58,53,52,52,52,52,50,55,56,57,59,50,51,50,48,45,54,53,48,47,53,52,50,48,55,58,53,55,59,59,52,64,63,53,68,66,62,69,73,65,62,54,53,54,68,60,55,56,58,55,55,57,55,58,57,54,56,61,53,52,54,55,54,55,57,57,60,57,55,55,54,55,53,54,56,55,54,56,55,55,56,57,55,54,54,54,51,55,55,55,52,56,57,57,56,53,53,57,55,60,56,56,55,55,62,55,63,62,71,82,76,79,78,81,82,81,83,84,83,86,85,89,87,91,88,88,90,87,83,87,86,87,91,88,61,73,70,54
