Map from character to field name
A:	Australia
B:	Bahrain
C:	Belgium
D:	Brazil
E:	Chad
F:	Chile
G:	China
H:	Germany
I:	Guam
J:	Italy
K:	Japan
L:	Russia
M:	South Korea
N:	Spain
O:	Turkey
P:	USA
Q:	United Kingdom
R:	?


Substitution rate (mu): 161.478607

Equilibrium frequencies (pi_i):
  A: 0.0277
  B: 0.0721
  C: 0.0785
  D: 0.0677
  E: 0.0701
  F: 0.0626
  G: 0.0628
  H: 0.0473
  I: 0.0592
  J: 0.0494
  K: 0.0463
  L: 0.0733
  M: 0.0492
  N: 0.0659
  O: 0.0741
  P: 0.0372
  Q: 0.0566

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q
  A	0	0.9631	0.8345	1.2253	1.0462	1.7968	1.9682	5.7084	1.8654	4.2535	4.0037	1.151	4.459	2.0541	0.8879	14.2353	3.4279
  B	0.9631	0	0.8234	0.8235	0.8244	0.8242	0.8245	1.1585	0.8239	0.827	0.8273	0.8246	0.826	0.8244	0.8235	0.8334	0.8281
  C	0.8345	0.8234	0	0.823	0.824	0.8234	0.8238	0.8716	0.8231	1.2507	0.8329	0.8235	0.8243	0.8236	0.8229	0.8293	1.1774
  D	1.2253	0.8235	0.823	0	0.8241	0.8239	0.824	0.8259	0.8232	0.8243	0.8244	0.8234	0.8244	0.8234	0.8229	0.8318	0.8388
  E	1.0462	0.8244	0.824	0.8241	0	0.8252	0.8268	0.8338	0.8261	0.8508	0.831	0.8248	0.8328	0.8256	0.8238	0.9512	0.8302
  F	1.7968	0.8242	0.8234	0.8239	0.8252	0	0.8253	0.837	0.8246	0.828	0.8275	0.8245	0.827	0.8291	0.8232	0.9908	1.037
  G	1.9682	0.8245	0.8238	0.824	0.8268	0.8253	0	0.8347	0.8263	0.8703	1.2728	0.8249	1.0628	0.8251	0.8236	1.1696	0.8311
  H	5.7084	1.1585	0.8716	0.8259	0.8338	0.837	0.8347	0	0.9372	2.7396	2.7652	1.6431	1.1914	1.0505	1.1616	2.3264	2.5889
  I	1.8654	0.8239	0.8231	0.8232	0.8261	0.8246	0.8263	0.9372	0	0.8287	1.1398	0.8831	0.8421	0.824	0.8231	2.3997	0.8283
  J	4.2535	0.827	1.2507	0.8243	0.8508	0.828	0.8703	2.7396	0.8287	0	3.2848	0.8359	0.878	1.5168	0.8239	2.4016	1.932
